"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 20 14:04:19 UTC 2026","Thu Aug 20 14:04:21 UTC 2026","1395","","Swag Labs Login Scenarios","","Login fallido por clave incorrecta","","Login fallido por clave incorrecta",""
"passed","Thu Aug 20 14:04:11 UTC 2026","Thu Aug 20 14:04:13 UTC 2026","2201","","Flujo Login Marmelab","","Login exitoso en React Admin Demo","","Login exitoso en React Admin Demo",""
"passed","Thu Aug 20 14:01:37 UTC 2026","Thu Aug 20 14:04:10 UTC 2026","153492","","Marmelab React Admin - CRUD Customers","","CRUD Costumers","","CRUD Costumers",""
"passed","Thu Aug 20 14:04:15 UTC 2026","Thu Aug 20 14:04:16 UTC 2026","1506","","Swag Labs Login Scenarios","","Login Exitoso","","Login Exitoso",""
"passed","Thu Aug 20 14:04:18 UTC 2026","Thu Aug 20 14:04:19 UTC 2026","1364","","Swag Labs Login Scenarios","","Login fallido por usuario incorrecto","","Login fallido por usuario incorrecto",""
"passed","Thu Aug 20 14:04:13 UTC 2026","Thu Aug 20 14:04:15 UTC 2026","2097","","Swag Labs Cart Scenarios","","Añadir producto al carro","","Añadir producto al carro",""
"passed","Thu Aug 20 14:04:16 UTC 2026","Thu Aug 20 14:04:18 UTC 2026","1356","","Swag Labs Login Scenarios","","Login fallido por usuario bloqueado","","Login fallido por usuario bloqueado",""
